DateTime, Value
7/21/2017 06:00:00, 0.9
7/21/2017 07:00:00, 1.09
7/21/2017 08:00:00, 1.23
7/21/2017 09:00:00, 1.68
7/21/2017 10:00:00, 2.02
7/21/2017 11:00:00, 3.88
7/21/2017 12:00:00, 4.27
7/21/2017 13:00:00, 4.84
7/21/2017 14:00:00, 6.9
7/21/2017 15:00:00, 7.82
7/21/2017 16:00:00, 9.54
7/21/2017 17:00:00, 10.33
7/21/2017 18:00:00, 11.28
7/21/2017 19:00:00, 12.24
7/21/2017 20:00:00, 11.91
7/21/2017 21:00:00, 11.33
7/21/2017 22:00:00, 10.74
7/21/2017 23:00:00, 10.4
7/22/2017 00:00:00, 10.88
7/22/2017 01:00:00, 10.27
7/22/2017 02:00:00, 10.71
7/22/2017 03:00:00, 10.34
7/22/2017 04:00:00, 10.6
7/22/2017 05:00:00, 10.33
7/22/2017 06:00:00, 9.46
7/22/2017 07:00:00, 9.08
7/22/2017 08:00:00, 10.39
7/22/2017 09:00:00, 10.8
7/22/2017 10:00:00, 11.15
7/22/2017 11:00:00, 9.2
7/22/2017 12:00:00, 7.42
7/22/2017 13:00:00, 6.86
7/22/2017 14:00:00, 5.58
7/22/2017 15:00:00, 5.88
7/22/2017 16:00:00, 6.5
7/22/2017 17:00:00, 6.97
7/22/2017 18:00:00, 7.41
7/22/2017 19:00:00, 8.12
7/22/2017 20:00:00, 9.03
7/22/2017 21:00:00, 9.55
7/22/2017 22:00:00, 9.6
7/22/2017 23:00:00, 9.6
7/23/2017 00:00:00, 9.57
7/23/2017 01:00:00, 9.72
7/23/2017 02:00:00, 10.21
7/23/2017 03:00:00, 10.47
7/23/2017 04:00:00, 9.24
7/23/2017 05:00:00, 11.06
7/23/2017 06:00:00, 12.91
7/23/2017 07:00:00, 13.69
7/23/2017 08:00:00, 14.47
7/23/2017 09:00:00, 15.19
7/23/2017 10:00:00, 15.17
7/23/2017 11:00:00, 14.44
7/23/2017 12:00:00, 14.24
7/23/2017 13:00:00, 13.98
7/23/2017 14:00:00, 14.09
7/23/2017 15:00:00, 14.41
7/23/2017 16:00:00, 14.26
7/23/2017 17:00:00, 13.4
7/23/2017 18:00:00, 12.71
7/23/2017 19:00:00, 13.42
7/23/2017 20:00:00, 14.3
7/23/2017 21:00:00, 12.67
7/23/2017 22:00:00, 11.96
7/23/2017 23:00:00, 12.02
7/24/2017 00:00:00, 12.42
7/24/2017 01:00:00, 12.77
7/24/2017 02:00:00, 12.54
7/24/2017 03:00:00, 11.98
7/24/2017 04:00:00, 11.96
7/24/2017 05:00:00, 10.12
7/24/2017 06:00:00, 9.32
7/24/2017 07:00:00, 9.13
7/24/2017 08:00:00, 9.35
7/24/2017 09:00:00, 10.74
7/24/2017 10:00:00, 10.78
7/24/2017 11:00:00, 10
7/24/2017 12:00:00, 10.21
7/24/2017 13:00:00, 10.39
7/24/2017 14:00:00, 9.79
7/24/2017 15:00:00, 9.7
7/24/2017 16:00:00, 9.89
7/24/2017 17:00:00, 9.84
7/24/2017 18:00:00, 9.09
7/24/2017 19:00:00, 8.54
7/24/2017 20:00:00, 8.16
7/24/2017 21:00:00, 7.91
7/24/2017 22:00:00, 8
7/24/2017 23:00:00, 7.81
7/25/2017 00:00:00, 7.65
7/25/2017 01:00:00, 7.45
7/25/2017 02:00:00, 7.31
7/25/2017 03:00:00, 6.99
7/25/2017 04:00:00, 6.69
7/25/2017 05:00:00, 6.76
7/25/2017 06:00:00, 7.1
7/25/2017 07:00:00, 7.46
7/25/2017 08:00:00, 9.12
7/25/2017 09:00:00, 10
7/25/2017 10:00:00, 10.93
7/25/2017 11:00:00, 11.72
7/25/2017 12:00:00, 12.37
7/25/2017 13:00:00, 12.41
7/25/2017 14:00:00, 12.87
7/25/2017 15:00:00, 13.68
7/25/2017 16:00:00, 14.7
