DateTime, Value
7/14/2017 03:00:00, 98
7/14/2017 04:00:00, 100
7/14/2017 05:00:00, 100
7/14/2017 06:00:00, 98
7/14/2017 07:00:00, 96
7/14/2017 08:00:00, 86
7/14/2017 09:00:00, 77
7/14/2017 10:00:00, 63
7/14/2017 11:00:00, 56
7/14/2017 12:00:00, 51
7/14/2017 13:00:00, 50
7/14/2017 14:00:00, 48
7/14/2017 15:00:00, 45
7/14/2017 16:00:00, 45
7/14/2017 17:00:00, 45
7/14/2017 18:00:00, 51
7/14/2017 19:00:00, 59
7/14/2017 20:00:00, 75
7/14/2017 21:00:00, 76
7/14/2017 22:00:00, 72
7/14/2017 23:00:00, 67
7/15/2017 00:00:00, 67
7/15/2017 01:00:00, 76
7/15/2017 02:00:00, 91
7/15/2017 03:00:00, 76
7/15/2017 04:00:00, 89
7/15/2017 05:00:00, 91
7/15/2017 06:00:00, 90
7/15/2017 07:00:00, 83
7/15/2017 08:00:00, 86
7/15/2017 09:00:00, 88
7/15/2017 10:00:00, 87
7/15/2017 11:00:00, 82
7/15/2017 12:00:00, 74
7/15/2017 13:00:00, 65
7/15/2017 14:00:00, 63
7/15/2017 15:00:00, 63
7/15/2017 16:00:00, 61
7/15/2017 17:00:00, 57
7/15/2017 18:00:00, 58
7/15/2017 19:00:00, 60
7/15/2017 20:00:00, 59
7/15/2017 21:00:00, 58
7/15/2017 22:00:00, 62
7/15/2017 23:00:00, 68
7/16/2017 00:00:00, 83
7/16/2017 01:00:00, 88
7/16/2017 02:00:00, 96
7/16/2017 03:00:00, 99
7/16/2017 04:00:00, 99
7/16/2017 05:00:00, 98
7/16/2017 06:00:00, 98
7/16/2017 07:00:00, 96
7/16/2017 08:00:00, 86
7/16/2017 09:00:00, 80
7/16/2017 10:00:00, 76
7/16/2017 11:00:00, 79
7/16/2017 12:00:00, 89
7/16/2017 13:00:00, 92
7/16/2017 14:00:00, 90
7/16/2017 15:00:00, 85
7/16/2017 16:00:00, 75
7/16/2017 17:00:00, 74
7/16/2017 18:00:00, 71
7/16/2017 19:00:00, 80
7/16/2017 20:00:00, 96
7/16/2017 21:00:00, 92
7/16/2017 22:00:00, 95
7/16/2017 23:00:00, 96
7/17/2017 00:00:00, 97
7/17/2017 01:00:00, 97
7/17/2017 02:00:00, 98
7/17/2017 03:00:00, 99
7/17/2017 04:00:00, 100
7/17/2017 05:00:00, 100
7/17/2017 06:00:00, 100
7/17/2017 07:00:00, 100
7/17/2017 08:00:00, 100
7/17/2017 09:00:00, 99
7/17/2017 10:00:00, 92
7/17/2017 11:00:00, 88
7/17/2017 12:00:00, 80
7/17/2017 13:00:00, 67
7/17/2017 14:00:00, 62
7/17/2017 15:00:00, 67
7/17/2017 16:00:00, 61
7/17/2017 17:00:00, 61
7/17/2017 18:00:00, 62
7/17/2017 19:00:00, 45
7/17/2017 20:00:00, 39
7/17/2017 21:00:00, 44
7/17/2017 22:00:00, 52
7/17/2017 23:00:00, 60
7/18/2017 00:00:00, 65
7/18/2017 01:00:00, 75
7/18/2017 02:00:00, 78
7/18/2017 03:00:00, 88
7/18/2017 04:00:00, 97
7/18/2017 05:00:00, 95
7/18/2017 06:00:00, 94
7/18/2017 07:00:00, 93
7/18/2017 08:00:00, 77
7/18/2017 09:00:00, 69
7/18/2017 10:00:00, 52
7/18/2017 11:00:00, 48
7/18/2017 12:00:00, 40
7/18/2017 13:00:00, 38
7/18/2017 14:00:00, 43
7/18/2017 15:00:00, 40
7/18/2017 16:00:00, 39
7/18/2017 17:00:00, 41
